RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_MATH_AVG,SAT_READ_AVG,SAT_WRIT_AVG,ACT_COMP_AVG,ACT_MATH_AVG,ACT_ENG_AVG,ACT_READ_AVG,ACT_SCI_AVG,HOUR_MATH_HOMEWORK,HOUR_SCIENCE_HOMEWORK,HOUR_OTHER_HOMEWORK,CREDITS_APIB,CREDITS_AP_ENG,CREDITS_AP_MATH,CREDITS_AP_SCIENCE,CREDITS_AP_SOCIAL_SCIENCE,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
1,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,22,23,21,22,22,1,1,1,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.0,3
1,4.0,3.5,4.0,4.0,4.0,4.0,-9,-9,-9,-9,-9,-9,-9,-9,2,1,4,0.0,0.0,0.0,0.0,0.0,2.9,17,17,0.0,1
3,3.0,2.5,3.0,3.5,2.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,6.0,2.0,1.0,2.0,1.0,2.8,31,31,0.0,3
3,4.0,4.0,4.0,3.5,4.0,4.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,6.5,2.0,0.0,0.0,2.0,-6.0,-6,-6,-6.0,-6
1,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,3.0,1.0,0.0,0.0,2.0,-6.0,-6,-6,-6.0,-6
1,4.0,3.0,3.5,3.0,3.0,3.5,-9,-9,-9,19,18,19,19,19,2,-7,1,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.1,2
6,2.5,2.0,2.5,2.5,2.5,2.5,550,540,530,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,1.2,13,6,0.5,1
1,4.0,3.5,3.5,3.5,3.5,3.5,-6,-6,-6,-6,-6,-6,-6,-6,1,1,2,1.0,1.0,0.0,0.0,0.0,3.5,56,47,0.0,13
1,3.5,3.5,3.5,4.0,3.5,4.0,-9,-9,-9,-9,-9,-9,-9,-9,-7,1,2,1.0,1.0,0.0,0.0,0.0,3.2,28,28,0.0,3
1,3.5,4.0,4.0,3.5,3.5,4.0,540,540,530,24,-9,-9,-9,-9,1,3,1,3.0,0.0,0.0,1.5,0.0,-6.0,-6,-6,-6.0,-6
1,3.5,3.0,3.0,3.5,3.0,3.5,-9,-9,-9,19,19,19,19,19,3,-7,1,0.0,0.0,0.0,0.0,0.0,2.2,27,27,0.0,1
6,4.0,4.0,4.0,4.0,4.0,4.0,570,570,570,26,25,27,27,26,2,1,3,2.0,0.0,1.0,0.0,0.0,3.6,35,34,0.0,3
3,3.5,3.0,3.5,3.5,3.5,4.0,600,590,570,-9,-9,-9,-9,-9,1,1,1,5.0,0.0,2.0,1.0,2.0,-8.0,-8,-8,-8.0,-8
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,1,-8.0,-8.0,-8.0,-8.0,-8.0,-6.0,-6,-6,-6.0,-6
3,4.0,4.0,3.5,4.0,4.0,4.5,540,560,530,-9,-9,-9,-9,-9,-7,3,4,4.0,1.0,1.0,0.0,1.0,3.9,33,33,0.0,3
3,3.5,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,3,3,3,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
3,4.0,4.0,4.0,4.0,4.0,4.0,520,550,530,23,23,22,24,23,2,2,3,0.0,0.0,0.0,0.0,0.0,3.8,36,33,0.0,3
1,3.0,3.0,3.0,3.0,2.5,3.5,-9,-9,-9,-9,-9,-9,-9,-9,2,2,2,7.0,1.0,0.0,1.0,2.0,3.0,31,28,0.0,11
6,3.5,3.5,3.0,2.5,3.0,3.5,560,540,520,21,26,24,25,24,2,1,2,0.0,0.0,0.0,0.0,0.0,2.7,21,18,0.0,3
3,3.0,3.5,3.5,3.5,3.0,3.5,640,640,640,21,21,21,21,21,2,2,2,1.0,0.0,1.0,0.0,0.0,2.5,6,6,0.0,2
1,2.5,3.5,3.5,3.0,3.0,3.5,560,560,560,-9,24,24,23,23,5,5,3,2.0,0.0,1.0,0.0,1.0,2.3,28,28,0.1,1
3,3.0,3.5,3.0,3.0,3.0,3.5,-9,-9,-9,-9,-9,-9,-9,-9,2,2,-9,8.0,0.0,1.0,1.0,3.0,3.2,31,31,0.0,3
6,-1.0,-1.0,-1.0,1.0,0.5,1.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.5,4.0,-9.0,4.0,3.5,4.0,-6,-6,-6,-6,-6,-6,-6,-6,2,4,3,3.5,0.0,1.0,1.0,0.5,3.3,30,30,0.0,3
1,1.5,1.5,1.5,1.5,1.5,1.5,450,420,420,-9,-9,-9,-9,-9,-7,-7,1,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.0,5
1,3.5,3.0,3.0,3.0,3.0,3.0,-9,-9,-9,24,23,25,23,23,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
6,1.0,2.5,2.0,1.5,1.5,2.0,-9,-9,-9,20,19,20,20,21,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.5,3.5,4.0,3.5,3.5,4.0,560,540,530,24,25,23,24,24,1,1,2,5.5,2.0,0.5,1.0,2.0,3.5,36,36,0.0,3
6,2.0,2.5,2.0,3.0,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8.0,-8
6,-1.0,2.0,2.5,1.5,1.5,2.0,-6,-6,-6,-6,-6,-6,-6,-6,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,-1.0,2.5,2.5,2.0,2.0,2.5,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.0,3.0,3.5,3.5,3.0,3.5,580,580,570,23,22,24,25,21,1,-7,2,0.5,0.0,0.0,0.0,0.0,2.6,36,33,0.0,3
3,4.0,4.0,4.0,4.0,4.0,4.5,480,500,470,-9,-9,-9,-9,-9,2,-7,2,1.0,0.0,0.0,0.0,1.0,3.8,33,33,0.0,11
5,3.0,2.0,1.5,2.0,1.5,2.0,530,570,560,-9,-9,-9,-9,-9,2,1,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
1,4.0,4.0,3.5,4.0,3.5,4.0,530,540,520,23,-9,-9,-9,-9,1,1,3,4.5,0.0,1.0,1.0,1.5,3.0,4,4,0.0,1
6,3.0,2.5,2.0,1.5,1.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,1,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
2,3.5,3.5,-1.0,1.5,2.0,2.5,-9,-9,-9,18,18,17,18,18,-7,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,-1.0,0.5,0.5,0.5,0.5,0.5,-9,-9,-9,24,-9,-9,-9,-9,2,2,3,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.0,2.5,2.0,2.5,2.5,2.5,-6,-6,-6,-6,-6,-6,-6,-6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.4,25,6,0.0,1
3,3.5,3.0,3.0,3.5,3.5,4.0,600,600,600,25,25,26,25,24,1,1,1,3.5,1.0,1.0,0.0,1.5,3.3,27,27,0.0,3
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,2,2,4,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8.0,-8
3,2.0,2.0,2.5,3.0,2.0,2.5,500,480,470,22,23,21,21,21,2,2,3,0.0,0.0,0.0,0.0,0.0,1.1,25,10,0.1,-9
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8.0,-8
1,2.5,2.5,2.5,3.0,2.5,2.5,560,550,450,22,-9,-9,-9,-9,1,1,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,4.0,4.0,4.0,4.0,4.0,4.5,530,540,560,-9,-9,-9,-9,-9,2,2,2,9.0,2.0,2.0,2.0,3.0,3.5,29,29,0.0,3
1,3.0,2.0,1.0,1.5,1.5,2.0,470,500,470,-9,-9,-9,-9,-9,2,2,2,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.0,1
1,3.0,3.0,2.5,3.0,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0,40,40,0.0,5
3,2.0,2.0,2.0,2.0,2.0,2.0,510,510,490,22,22,22,23,22,1,1,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
1,2.5,2.0,1.5,3.5,2.0,2.5,510,480,450,21,22,20,22,21,2,1,2,1.0,0.0,0.0,0.0,1.0,1.0,3,3,0.2,1
6,3.0,3.0,3.5,4.0,3.5,3.5,-6,-6,-6,-6,-6,-6,-6,-6,2,2,2,3.0,0.0,1.5,1.0,0.0,3.9,32,32,0.0,3
6,3.0,2.0,2.0,3.0,2.5,2.5,-9,-9,-9,19,20,19,19,19,1,1,2,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.0,-9
1,2.0,1.5,2.5,3.0,2.0,2.0,590,570,560,25,25,25,25,24,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0.2,1
1,3.5,3.5,3.5,3.0,3.0,3.5,540,530,560,-9,-9,-9,-9,-9,3,3,3,3.0,1.0,0.0,0.0,2.0,-8.0,-8,-8,-8.0,-8
1,3.5,4.0,4.0,3.5,3.5,4.5,-9,-9,-9,-9,-9,-9,-9,-9,-8,-8,-8,10.0,2.0,2.0,2.0,3.0,3.2,36,36,0.0,3
1,2.5,2.0,2.5,2.5,2.5,2.5,400,400,400,16,16,15,16,16,1,1,1,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
1,3.5,3.5,3.0,3.0,3.0,3.0,-6,-6,-6,-6,-6,-6,-6,-6,1,1,2,0.0,0.0,0.0,0.0,0.0,3.6,34,34,0.2,3
4,3.0,2.5,3.0,3.5,2.5,3.0,-6,-6,-6,-6,-6,-6,-6,-6,2,2,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,2.5,2.5,2.5,2.5,2.0,2.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,1.0,0.0,0.0,0.0,1.0,2.3,19,17,0.1,1
6,4.0,3.5,3.5,3.5,3.5,3.5,-9,-9,-9,21,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,3.1,24,24,0.0,3
6,1.5,1.5,1.5,3.0,1.5,1.5,490,500,490,23,22,23,23,23,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,2.0,1.5,1.5,2.0,1.5,2.0,-9,-9,-9,24,24,24,24,24,1,1,1,0.0,0.0,0.0,0.0,0.0,2.1,21,19,0.0,5
1,1.5,3.0,4.0,3.5,3.0,3.5,-8,-8,-8,-8,-8,-8,-8,-8,1,2,2,6.0,2.0,1.0,0.0,2.0,-7.0,0,0,0.0,3
5,3.0,3.0,2.0,2.5,2.5,2.5,500,510,510,19,18,20,19,19,1,1,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,3.0,3.5,3.0,3.5,3.5,4.0,560,540,-9,-9,-9,-9,-9,-9,2,2,2,6.0,0.0,1.0,3.0,1.0,3.5,30,30,0.0,3
3,3.5,3.0,3.0,3.5,3.5,3.5,620,640,640,28,-9,-9,-9,-9,5,5,5,3.0,2.0,0.0,1.0,0.0,1.0,27,12,0.1,3
6,2.5,1.5,2.0,2.5,2.0,2.0,-9,-9,-9,22,23,22,22,22,2,2,2,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
6,3.0,3.0,3.0,3.5,3.0,3.5,-9,-9,-9,19,18,18,20,20,2,1,1,1.0,1.0,0.0,0.0,0.0,2.7,33,30,0.1,2
6,1.0,1.5,1.5,2.0,1.5,1.5,-9,-9,-9,-9,-9,-9,-9,-9,1,2,2,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
4,-1.0,3.0,3.0,3.0,3.0,3.0,-9,-9,-9,-9,-9,-9,-9,-9,1,-7,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,-1.0,-1.0,1.5,1.5,1.0,1.5,620,560,640,28,27,27,27,16,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,3.5,2.5,2.0,2.5,2.5,2.5,-9,-9,-9,20,20,19,20,19,2,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
3,3.5,3.5,4.0,4.0,3.5,4.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,9.0,2.0,2.0,1.0,3.0,2.7,27,24,0.0,3
5,-1.0,-1.0,-1.0,-1.0,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,2,2,3,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
2,3.5,3.0,2.5,1.0,2.5,2.5,-6,-6,-6,-6,-6,-6,-6,-6,2,1,2,0.0,0.0,0.0,0.0,0.0,-7.0,0,0,0.1,5
3,3.5,2.5,2.5,2.5,2.5,2.5,450,420,420,-9,-9,-9,-9,-9,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,3.2,27,27,0.0,15
6,2.5,1.5,0.5,1.0,1.5,1.5,-9,-9,-9,22,22,22,22,22,-8,-8,-8,0.0,0.0,0.0,0.0,0.0,-8.0,-8,-8,-8.0,-8
6,4.0,3.5,4.0,4.0,4.0,4.0,510,500,490,20,20,19,21,20,2,1,3,1.0,0.0,0.0,1.0,0.0,-7.0,0,0,0.0,3
6,2.0,2.0,2.0,2.0,1.5,2.0,-9,-9,-9,20,20,19,20,19,1,2,2,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9,-9,-9,-9,-9,-9,-9,-9,1,1,2,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8.0,-8
6,2.0,2.0,1.0,2.5,1.5,2.0,510,510,480,20,20,19,20,20,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,1
1,3.0,3.5,3.0,3.5,3.0,3.5,450,440,450,19,-9,-9,-9,-9,2,-7,3,0.0,0.0,0.0,0.0,0.0,1.3,21,9,0.1,1
3,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-9,-9,-9,-9,-9,-9,-9,-9,-7,1,2,0.0,0.0,0.0,0.0,0.0,0.2,17,1,0.2,1
1,3.0,3.5,2.5,3.0,3.0,3.0,490,500,490,23,22,23,23,23,2,2,4,1.0,1.0,0.0,0.0,0.0,2.4,14,14,0.0,11
1,2.5,2.5,2.5,2.5,2.5,2.5,-9,-9,-9,-9,-9,-9,-9,-9,1,1,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
6,-1.0,-1.0,-1.0,1.0,1.0,1.0,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,1,0.0,0.0,0.0,0.0,0.0,-6.0,-6,-6,-6.0,-6
1,3.0,3.0,3.0,3.5,3.0,3.0,-9,-9,-9,19,18,19,19,19,2,-7,3,0.0,0.0,0.0,0.0,0.0,2.5,6,6,0.0,3
1,3.5,3.5,3.0,3.0,3.0,3.5,640,600,620,27,27,27,26,25,1,1,1,0.0,0.0,0.0,0.0,0.0,3.6,17,17,0.0,3
3,3.0,3.0,3.0,3.5,3.0,3.0,-9,-9,-9,-9,-9,-9,-9,-9,2,-7,2,0.0,0.0,0.0,0.0,0.0,-9.0,-9,-9,0.0,1
-8,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8.0,-8.0,-8.0,-8.0,-8.0,3.7,17,17,0.1,3
3,3.0,2.5,2.0,2.5,2.5,2.5,620,580,-9,24,-9,-9,-9,-9,3,2,4,0.0,0.0,0.0,0.0,0.0,3.2,26,16,0.2,9
