X1SEX,X1RACE,X1HISPANIC,X1WHITE,X1BLACK,X1PAREDU,X1FAMINCOME,X1SES,X1POVERTY130,X1HHNUMBER,X2PAREDU,X2FAMINCOME,X2SES,X2POVERTY130,X2HHNUMBER,X1CONTROL,X1LOCALE,X1REGION,X1SCHOOLCLI,X2ENROLSTAT,X2ENRSTATSCH,X2NUMHS,X2EVERDROP,X2DROPSTAT,X1TXMTSCOR,X1TXMQUINT,X2TXMTSCOR,X2TXMQUINT,X3TGPATOT,HS_GPA_WGT,HS_GPA_ACAD,X3TGPASTEM,RIGOR,X3TCREDTOT,X3TCREDACAD,X3TCREDSTEM,CREDITS_APIB,X3TCREDADV,X3TCREDHON,X3TCREDMAT,X3TCREDSCI,X3TCREDENG,X3THIMATH,X3THISCI,X3T1CREDALG2,X3T1CREDCALC,X3T1CREDPHYS,X3T1CREDSTAT,X3TWHENALG1,X3HSCOMPSTAT,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,X5REMRAT,X5ENRATT
1,8,0,1,0,5,10,1.5644,0,3,6,11,1.5649,0,4,1,4,2,0.6,1,1,1,0,0,59.371,5,68.6447,5,3.5,3.5,3.5,3.0,1,30.0,23.0,9.5,0.0,3.0,0.0,6.0,3.0,4.0,9,1,1,0,0,1,4,1,-7.0,0,0,0.0,3
2,8,0,1,0,3,3,-0.3699,0,6,4,3,-0.3307,0,6,1,4,1,0.32,1,1,1,0,0,47.6821,2,54.0863,4,4.0,4.0,4.0,4.0,1,27.0,22.0,9.0,0.0,0.0,0.0,5.0,3.5,4.5,6,2,0,0,0,0,5,1,2.9,17,17,0.0,1
2,3,0,0,1,7,6,1.2741,0,3,7,6,1.0141,0,2,1,2,4,-0.61,1,1,1,0,0,64.2431,5,55.6336,4,3.0,3.5,2.5,2.5,3,25.0,19.0,8.0,6.0,6.0,4.0,4.0,4.0,4.0,11,5,1,0,0,1,10,1,2.8,31,31,0.0,3
2,8,0,1,0,4,5,0.5498,0,2,4,3,-0.3347,0,4,1,2,3,-2.14,1,1,1,0,0,49.269,3,-8.0,-8,4.0,4.5,4.0,3.5,3,28.0,24.5,8.5,6.5,5.0,10.5,4.0,3.5,4.0,6,1,1,0,1,0,4,1,-6.0,-6,-6,-6.0,-6
1,8,0,1,0,4,9,0.1495,0,4,5,7,0.9661,0,4,1,1,3,-0.65,1,1,1,1,3,62.5897,5,50.5818,3,3.5,3.5,3.5,3.0,1,26.0,20.0,9.0,3.0,5.0,0.5,4.0,4.0,4.0,11,2,0,0,1,0,10,1,-6.0,-6,-6,-6.0,-6
2,8,0,1,0,3,5,1.0639,0,6,5,5,0.3305,0,5,1,4,3,-9.0,1,1,1,0,0,58.1268,4,53.9958,4,3.5,3.5,3.0,3.0,1,32.0,19.0,9.0,0.0,1.0,0.0,4.0,4.0,4.0,6,2,1,0,0,0,4,1,0.0,3,0,0.1,2
2,8,0,1,0,2,4,-0.43,0,2,2,4,0.3021,0,4,1,4,1,-0.66,1,1,1,1,3,49.496,3,47.6403,2,2.5,2.5,2.5,2.0,6,27.5,13.5,6.0,0.0,4.0,0.0,3.0,3.0,3.0,6,1,1,0,0,0,10,1,1.2,13,6,0.5,1
1,8,0,1,0,7,7,1.5144,0,3,7,7,0.5427,0,2,1,3,1,-0.32,2,2,2,0,0,54.6249,4,62.8079,5,3.5,3.5,3.5,3.0,1,25.5,16.5,7.0,1.0,1.0,0.0,3.0,3.0,4.0,11,1,1,0,0,0,10,1,3.5,56,47,0.0,13
1,8,0,1,0,2,4,-0.3103,0,3,3,6,0.2379,0,4,1,3,3,-0.16,1,1,1,0,0,53.1875,4,59.8127,5,3.5,4.0,3.5,3.5,1,30.0,18.0,9.0,1.0,5.0,2.0,4.0,4.0,4.0,6,1,1,0,0,0,4,1,3.2,28,28,0.0,3
2,8,0,1,0,3,4,0.0451,0,4,4,5,0.2766,0,4,1,1,1,-0.36,1,1,1,0,0,63.7986,5,61.4352,5,4.0,4.0,3.5,4.0,1,34.0,25.0,10.5,3.0,6.0,0.0,4.5,5.5,4.0,11,5,1,0,0,0,4,1,-6.0,-6,-6,-6.0,-6
1,8,0,1,0,5,5,1.2058,0,6,6,5,0.856,0,8,1,2,3,0.61,1,1,1,0,0,56.5005,4,44.3076,2,3.0,3.5,3.0,3.0,1,35.0,24.5,15.0,0.0,0.0,15.0,6.0,4.0,6.5,12,2,1,1,1,0,10,1,2.2,27,27,0.0,1
2,8,0,1,0,7,13,2.4996,0,5,7,8,1.5171,0,4,2,2,2,1.37,1,1,1,0,0,67.6823,5,61.5733,5,4.0,4.0,4.0,4.0,6,31.5,30.0,10.0,2.0,8.0,0.0,4.0,6.0,3.0,13,3,1,1,1,0,10,1,3.6,35,34,0.0,3
1,8,0,1,0,7,13,2.5668,0,4,7,13,2.1505,0,4,1,2,3,-1.77,1,1,1,0,0,66.6624,5,64.6596,5,3.5,4.0,3.5,3.0,3,25.0,24.0,8.0,5.0,5.0,11.0,4.0,4.0,4.0,13,5,1,1,1,1,10,1,-8.0,-8,-8,-8.0,-8
